2023-05-04 13:47:21,024; CRITICAL; MainThread          ; logger    ; <module>                 ( 45); PROGRAM START
2023-05-04 13:47:21,324; INFO    ; GR2_CW              ; actuator  ; stop                     (284); GR2_CW :Stopped actuator
2023-05-04 13:47:21,327; DEBUG   ; GR2_CW              ; sensor    ; __del__                  ( 70); Destroyed Sensor(REF_SWITCH): GR2_REF_SW_ROTATION
2023-05-04 13:47:21,398; INFO    ; GR2_CW              ; sensor    ; reset_encoder            (190); Reset encoder: GR2_ROTATION_ENCODER
2023-05-04 13:47:21,401; INFO    ; GR2_INIT            ; robot_3d  ; move_all_axes            (249); GR2 :Axes moved to: (r:0, h:-, v:-)
2023-05-04 13:47:21,420; INFO    ; GR2                 ; actuator  ; run_to_encoder_start     (213); GR2_OPEN :Actuator running to encoder start
2023-05-04 13:47:21,423; INFO    ; GR2                 ; actuator  ; run_to_sensor            ( 82); GR2_OPEN :Actuator running to sensor: GR2_REF_SW_CLAW
2023-05-04 13:47:21,425; DEBUG   ; GR2                 ; sensor    ; __init__                 ( 66); Created Sensor(REF_SWITCH): GR2_REF_SW_CLAW
2023-05-04 13:47:21,426; INFO    ; GR2                 ; actuator  ; start                    (274); GR2_OPEN :Started actuator
2023-05-04 13:47:21,429; INFO    ; GR2                 ; robot_3d  ; move_to_position         (170); GR2 :Moving to Position: (r:2245, h:55, v:3450)
2023-05-04 13:47:21,430; WARNING ; GR2                 ; machine   ; switch_state             ( 78); GR2: Switching state to: TO_MOVING_POS
2023-05-04 13:47:21,431; INFO    ; GR2                 ; robot_3d  ; move_all_axes            (219); GR2 :Moving axes to: (r:2245, h:0, v:1100)
2023-05-04 13:47:21,436; INFO    ; GR2_CCW             ; actuator  ; run_to_encoder_value     (163); GR2_CCW :Actuator running to value: 2245, at: GR2_ROTATION_ENCODER
2023-05-04 13:47:21,439; INFO    ; GR2_BWD             ; actuator  ; run_to_encoder_start     (213); GR2_BWD :Actuator running to encoder start
2023-05-04 13:47:21,442; INFO    ; GR2_CCW             ; actuator  ; start                    (274); GR2_CCW :Started actuator
2023-05-04 13:47:21,446; INFO    ; GR2_BWD             ; actuator  ; run_to_sensor            ( 82); GR2_BWD :Actuator running to sensor: GR2_REF_SW_HORIZONTAL
2023-05-04 13:47:21,448; INFO    ; GR2_DOWN            ; actuator  ; run_to_encoder_value     (163); GR2_DOWN :Actuator running to value: 1100, at: GR2_VERTICAL_ENCODER
2023-05-04 13:47:21,453; DEBUG   ; GR2_BWD             ; sensor    ; __init__                 ( 66); Created Sensor(REF_SWITCH): GR2_REF_SW_HORIZONTAL
2023-05-04 13:47:21,454; INFO    ; GR2_DOWN            ; actuator  ; start                    (274); GR2_DOWN :Started actuator
2023-05-04 13:47:21,455; INFO    ; GR2_BWD             ; actuator  ; run_to_sensor            ( 89); GR2_BWD :Actuator already at sensor: GR2_REF_SW_HORIZONTAL
2023-05-04 13:47:21,457; INFO    ; GR2_BWD             ; actuator  ; stop                     (284); GR2_BWD :Stopped actuator
2023-05-04 13:47:21,459; DEBUG   ; GR2_BWD             ; sensor    ; __del__                  ( 70); Destroyed Sensor(REF_SWITCH): GR2_REF_SW_HORIZONTAL
2023-05-04 13:47:21,544; INFO    ; GR2_BWD             ; sensor    ; reset_encoder            (190); Reset encoder: GR2_HORIZONTAL_COUNTER
2023-05-04 13:47:22,284; INFO    ; GR2                 ; sensor    ; wait_for_detect          (139); GR2_REF_SW_CLAW :Detection
2023-05-04 13:47:22,285; INFO    ; GR2                 ; actuator  ; stop                     (284); GR2_OPEN :Stopped actuator
2023-05-04 13:47:22,286; DEBUG   ; GR2                 ; sensor    ; __del__                  ( 70); Destroyed Sensor(REF_SWITCH): GR2_REF_SW_CLAW
2023-05-04 13:47:22,451; INFO    ; GR2                 ; sensor    ; reset_encoder            (190); Reset encoder: GR2_CLAW_COUNTER
2023-05-04 13:47:22,452; INFO    ; GR2                 ; actuator  ; run_to_encoder_value     (163); GR2_CLOSE :Actuator running to value: 5, at: GR2_CLAW_COUNTER
2023-05-04 13:47:22,454; INFO    ; GR2                 ; actuator  ; start                    (274); GR2_CLOSE :Started actuator
2023-05-04 13:47:22,987; INFO    ; GR2                 ; sensor    ; wait_for_encoder         (174); GR2_CLAW_COUNTER :Value reached: 5
2023-05-04 13:47:22,988; INFO    ; GR2                 ; actuator  ; run_to_encoder_value     (183); GR2_CLOSE :Stopped at: 5
2023-05-04 13:47:22,990; INFO    ; GR2                 ; actuator  ; stop                     (284); GR2_CLOSE :Stopped actuator
2023-05-04 13:47:24,008; INFO    ; GR2_DOWN            ; sensor    ; wait_for_encoder         (174); GR2_VERTICAL_ENCODER :Value reached: 1061
2023-05-04 13:47:24,010; INFO    ; GR2_DOWN            ; actuator  ; run_to_encoder_value     (183); GR2_DOWN :Stopped at: 1061
2023-05-04 13:47:24,011; INFO    ; GR2_DOWN            ; actuator  ; stop                     (284); GR2_DOWN :Stopped actuator
2023-05-04 13:47:26,226; INFO    ; GR2_CCW             ; sensor    ; wait_for_encoder         (174); GR2_ROTATION_ENCODER :Value reached: 2106
2023-05-04 13:47:26,228; INFO    ; GR2_CCW             ; actuator  ; set_pwm                  (298); GR2_ROTATION_PWM :Set to 15%
2023-05-04 13:47:26,229; INFO    ; GR2_CCW             ; actuator  ; start                    (274); GR2_CCW :Started actuator
2023-05-04 13:47:26,605; INFO    ; GR2_CCW             ; sensor    ; wait_for_encoder         (174); GR2_ROTATION_ENCODER :Value reached: 2230
2023-05-04 13:47:26,605; INFO    ; GR2_CCW             ; actuator  ; run_to_encoder_value     (183); GR2_CCW :Stopped at: 2230
2023-05-04 13:47:26,606; INFO    ; GR2_CCW             ; actuator  ; stop                     (284); GR2_CCW :Stopped actuator
2023-05-04 13:47:26,608; INFO    ; GR2_CCW             ; actuator  ; set_pwm                  (298); GR2_ROTATION_PWM :Set to 100%
2023-05-04 13:47:26,609; INFO    ; GR2                 ; robot_3d  ; move_all_axes            (249); GR2 :Axes moved to: (r:2245, h:0, v:1100)
2023-05-04 13:47:26,610; WARNING ; GR2                 ; machine   ; switch_state             ( 78); GR2: Switching state to: MOVING
2023-05-04 13:47:26,611; INFO    ; GR2                 ; robot_3d  ; move_all_axes            (219); GR2 :Moving axes to: (r:2245, h:-, v:-)
2023-05-04 13:47:26,617; INFO    ; GR2_CCW             ; actuator  ; move_axis                (255); GR2_CCW :Axis already at position
2023-05-04 13:47:26,626; INFO    ; GR2                 ; robot_3d  ; move_all_axes            (249); GR2 :Axes moved to: (r:2245, h:-, v:-)
2023-05-04 13:47:26,628; WARNING ; GR2                 ; machine   ; switch_state             ( 78); GR2: Switching state to: TO_DESTINATION
2023-05-04 13:47:26,630; INFO    ; GR2                 ; robot_3d  ; move_all_axes            (219); GR2 :Moving axes to: (r:2245, h:55, v:3450)
2023-05-04 13:47:26,635; INFO    ; GR2_CCW             ; actuator  ; move_axis                (255); GR2_CCW :Axis already at position
2023-05-04 13:47:26,640; INFO    ; GR2_FWD             ; actuator  ; run_to_encoder_value     (163); GR2_FWD :Actuator running to value: 55, at: GR2_HORIZONTAL_COUNTER
2023-05-04 13:47:26,642; INFO    ; GR2_FWD             ; actuator  ; start                    (274); GR2_FWD :Started actuator
2023-05-04 13:47:26,648; INFO    ; GR2_DOWN            ; actuator  ; run_to_encoder_value     (163); GR2_DOWN :Actuator running to value: 3450, at: GR2_VERTICAL_ENCODER
2023-05-04 13:47:26,649; INFO    ; GR2_DOWN            ; actuator  ; start                    (274); GR2_DOWN :Started actuator
2023-05-04 13:47:32,045; INFO    ; GR2_FWD             ; sensor    ; wait_for_encoder         (174); GR2_HORIZONTAL_COUNTER :Value reached: 55
2023-05-04 13:47:32,046; INFO    ; GR2_FWD             ; actuator  ; run_to_encoder_value     (183); GR2_FWD :Stopped at: 55
2023-05-04 13:47:32,047; INFO    ; GR2_FWD             ; actuator  ; stop                     (284); GR2_FWD :Stopped actuator
2023-05-04 13:47:32,206; INFO    ; GR2_DOWN            ; sensor    ; wait_for_encoder         (174); GR2_VERTICAL_ENCODER :Value reached: 3417
2023-05-04 13:47:32,207; INFO    ; GR2_DOWN            ; actuator  ; run_to_encoder_value     (183); GR2_DOWN :Stopped at: 3417
2023-05-04 13:47:32,207; INFO    ; GR2_DOWN            ; actuator  ; stop                     (284); GR2_DOWN :Stopped actuator
2023-05-04 13:47:32,209; INFO    ; GR2                 ; robot_3d  ; move_all_axes            (249); GR2 :Axes moved to: (r:2245, h:55, v:3450)
2023-05-04 13:47:32,212; INFO    ; GR2                 ; robot_3d  ; move_to_position         (207); GR2 :Position reached: (r:2245, h:55, v:3450)
2023-05-04 13:47:32,214; WARNING ; GR2                 ; machine   ; switch_state             ( 78); GR2: Switching state to: END
2023-05-04 13:47:32,223; INFO    ; GR2                 ; grip_robot; grip                     ( 65); GR2 :Gripping
2023-05-04 13:47:32,225; INFO    ; GR2                 ; actuator  ; run_to_encoder_value     (163); GR2_CLOSE :Actuator running to value: 11, at: GR2_CLAW_COUNTER
2023-05-04 13:47:32,226; INFO    ; GR2                 ; actuator  ; start                    (274); GR2_CLOSE :Started actuator
2023-05-04 13:47:32,804; INFO    ; GR2                 ; sensor    ; wait_for_encoder         (174); GR2_CLAW_COUNTER :Value reached: 11
2023-05-04 13:47:32,806; INFO    ; GR2                 ; actuator  ; run_to_encoder_value     (183); GR2_CLOSE :Stopped at: 11
2023-05-04 13:47:32,807; INFO    ; GR2                 ; actuator  ; stop                     (284); GR2_CLOSE :Stopped actuator
2023-05-04 13:47:32,816; INFO    ; GR2                 ; robot_3d  ; move_to_position         (170); GR2 :Moving to Position: (r:1365, h:24, v:1700)
2023-05-04 13:47:32,818; WARNING ; GR2                 ; machine   ; switch_state             ( 78); GR2: Switching state to: TO_MOVING_POS
2023-05-04 13:47:32,819; INFO    ; GR2                 ; robot_3d  ; move_all_axes            (219); GR2 :Moving axes to: (r:-, h:0, v:1100)
2023-05-04 13:47:32,827; INFO    ; GR2_BWD             ; actuator  ; run_to_encoder_start     (213); GR2_BWD :Actuator running to encoder start
2023-05-04 13:47:32,830; INFO    ; GR2_BWD             ; actuator  ; run_to_sensor            ( 82); GR2_BWD :Actuator running to sensor: GR2_REF_SW_HORIZONTAL
2023-05-04 13:47:32,833; DEBUG   ; GR2_BWD             ; sensor    ; __init__                 ( 66); Created Sensor(REF_SWITCH): GR2_REF_SW_HORIZONTAL
2023-05-04 13:47:32,834; INFO    ; GR2_UP              ; actuator  ; run_to_encoder_value     (163); GR2_UP :Actuator running to value: 1100, at: GR2_VERTICAL_ENCODER
2023-05-04 13:47:32,835; INFO    ; GR2_BWD             ; actuator  ; start                    (274); GR2_BWD :Started actuator
2023-05-04 13:47:32,836; INFO    ; GR2_UP              ; actuator  ; start                    (274); GR2_UP :Started actuator
2023-05-04 13:47:38,304; INFO    ; GR2_BWD             ; sensor    ; wait_for_detect          (139); GR2_REF_SW_HORIZONTAL :Detection
2023-05-04 13:47:38,305; INFO    ; GR2_BWD             ; actuator  ; stop                     (284); GR2_BWD :Stopped actuator
2023-05-04 13:47:38,307; DEBUG   ; GR2_BWD             ; sensor    ; __del__                  ( 70); Destroyed Sensor(REF_SWITCH): GR2_REF_SW_HORIZONTAL
2023-05-04 13:47:38,461; INFO    ; GR2_BWD             ; sensor    ; reset_encoder            (190); Reset encoder: GR2_HORIZONTAL_COUNTER
2023-05-04 13:47:39,188; INFO    ; GR2_UP              ; sensor    ; wait_for_encoder         (174); GR2_VERTICAL_ENCODER :Value reached: 1138
2023-05-04 13:47:39,189; INFO    ; GR2_UP              ; actuator  ; run_to_encoder_value     (183); GR2_UP :Stopped at: 1138
2023-05-04 13:47:39,189; INFO    ; GR2_UP              ; actuator  ; stop                     (284); GR2_UP :Stopped actuator
2023-05-04 13:47:39,191; INFO    ; GR2                 ; robot_3d  ; move_all_axes            (249); GR2 :Axes moved to: (r:-, h:0, v:1100)
2023-05-04 13:47:39,192; WARNING ; GR2                 ; machine   ; switch_state             ( 78); GR2: Switching state to: MOVING
2023-05-04 13:47:39,193; INFO    ; GR2                 ; robot_3d  ; move_all_axes            (219); GR2 :Moving axes to: (r:1365, h:-, v:-)
2023-05-04 13:47:39,198; INFO    ; GR2_CW              ; actuator  ; run_to_encoder_value     (163); GR2_CW :Actuator running to value: 1365, at: GR2_ROTATION_ENCODER
2023-05-04 13:47:39,200; INFO    ; GR2_CW              ; actuator  ; start                    (274); GR2_CW :Started actuator
2023-05-04 13:47:41,025; INFO    ; GR2_CW              ; sensor    ; wait_for_encoder         (174); GR2_ROTATION_ENCODER :Value reached: 1502
2023-05-04 13:47:41,026; INFO    ; GR2_CW              ; actuator  ; set_pwm                  (298); GR2_ROTATION_PWM :Set to 15%
2023-05-04 13:47:41,028; INFO    ; GR2_CW              ; actuator  ; start                    (274); GR2_CW :Started actuator
2023-05-04 13:47:41,466; INFO    ; GR2_CW              ; sensor    ; wait_for_encoder         (174); GR2_ROTATION_ENCODER :Value reached: 1378
2023-05-04 13:47:41,467; INFO    ; GR2_CW              ; actuator  ; run_to_encoder_value     (183); GR2_CW :Stopped at: 1378
2023-05-04 13:47:41,468; INFO    ; GR2_CW              ; actuator  ; stop                     (284); GR2_CW :Stopped actuator
2023-05-04 13:47:41,469; INFO    ; GR2_CW              ; actuator  ; set_pwm                  (298); GR2_ROTATION_PWM :Set to 100%
2023-05-04 13:47:41,470; INFO    ; GR2                 ; robot_3d  ; move_all_axes            (249); GR2 :Axes moved to: (r:1365, h:-, v:-)
2023-05-04 13:47:41,472; WARNING ; GR2                 ; machine   ; switch_state             ( 78); GR2: Switching state to: TO_DESTINATION
2023-05-04 13:47:41,473; INFO    ; GR2                 ; robot_3d  ; move_all_axes            (219); GR2 :Moving axes to: (r:1365, h:24, v:1700)
2023-05-04 13:47:41,478; INFO    ; GR2_CW              ; actuator  ; move_axis                (255); GR2_CW :Axis already at position
2023-05-04 13:47:41,483; INFO    ; GR2_FWD             ; actuator  ; run_to_encoder_value     (163); GR2_FWD :Actuator running to value: 24, at: GR2_HORIZONTAL_COUNTER
2023-05-04 13:47:41,484; INFO    ; GR2_FWD             ; actuator  ; start                    (274); GR2_FWD :Started actuator
2023-05-04 13:47:41,492; INFO    ; GR2_DOWN            ; actuator  ; run_to_encoder_value     (163); GR2_DOWN :Actuator running to value: 1700, at: GR2_VERTICAL_ENCODER
2023-05-04 13:47:41,494; INFO    ; GR2_DOWN            ; actuator  ; start                    (274); GR2_DOWN :Started actuator
2023-05-04 13:47:42,848; INFO    ; GR2_DOWN            ; sensor    ; wait_for_encoder         (174); GR2_VERTICAL_ENCODER :Value reached: 1664
2023-05-04 13:47:42,850; INFO    ; GR2_DOWN            ; actuator  ; run_to_encoder_value     (183); GR2_DOWN :Stopped at: 1664
2023-05-04 13:47:42,851; INFO    ; GR2_DOWN            ; actuator  ; stop                     (284); GR2_DOWN :Stopped actuator
2023-05-04 13:47:43,825; INFO    ; GR2_FWD             ; sensor    ; wait_for_encoder         (174); GR2_HORIZONTAL_COUNTER :Value reached: 24
2023-05-04 13:47:43,827; INFO    ; GR2_FWD             ; actuator  ; run_to_encoder_value     (183); GR2_FWD :Stopped at: 24
2023-05-04 13:47:43,829; INFO    ; GR2_FWD             ; actuator  ; stop                     (284); GR2_FWD :Stopped actuator
2023-05-04 13:47:43,831; INFO    ; GR2                 ; robot_3d  ; move_all_axes            (249); GR2 :Axes moved to: (r:1365, h:24, v:1700)
2023-05-04 13:47:43,833; INFO    ; GR2                 ; robot_3d  ; move_to_position         (207); GR2 :Position reached: (r:1365, h:24, v:1700)
2023-05-04 13:47:43,834; WARNING ; GR2                 ; machine   ; switch_state             ( 78); GR2: Switching state to: END
2023-05-04 13:47:43,859; INFO    ; GR2                 ; grip_robot; release                  ( 86); GR2 :Releasing
2023-05-04 13:47:43,860; INFO    ; GR2                 ; actuator  ; run_to_encoder_value     (163); GR2_OPEN :Actuator running to value: 9, at: GR2_CLAW_COUNTER
2023-05-04 13:47:43,861; INFO    ; GR2                 ; actuator  ; start                    (274); GR2_OPEN :Started actuator
2023-05-04 13:47:44,168; INFO    ; GR2                 ; sensor    ; wait_for_encoder         (174); GR2_CLAW_COUNTER :Value reached: 9
2023-05-04 13:47:44,169; INFO    ; GR2                 ; actuator  ; run_to_encoder_value     (183); GR2_OPEN :Stopped at: 9
2023-05-04 13:47:44,170; INFO    ; GR2                 ; actuator  ; stop                     (284); GR2_OPEN :Stopped actuator
2023-05-04 13:47:44,186; WARNING ; GR2_INIT            ; machine   ; switch_state             ( 78); GR2: Switching state to: INIT
2023-05-04 13:47:44,188; WARNING ; MainThread          ; machine   ; switch_state             ( 78); Main: Switching state to: MPS
2023-05-04 13:47:44,191; INFO    ; GR2_INIT            ; robot_3d  ; init                     (101); Initializing GR2, moving to init position
2023-05-04 13:47:44,193; INFO    ; GR2_INIT            ; robot_3d  ; move_all_axes            (219); GR2 :Moving axes to: (r:-, h:0, v:0)
2023-05-04 13:47:44,202; INFO    ; GR2_BWD             ; actuator  ; run_to_encoder_start     (213); GR2_BWD :Actuator running to encoder start
2023-05-04 13:47:44,203; INFO    ; GR2_BWD             ; actuator  ; run_to_sensor            ( 82); GR2_BWD :Actuator running to sensor: GR2_REF_SW_HORIZONTAL
2023-05-04 13:47:44,207; DEBUG   ; GR2_BWD             ; sensor    ; __init__                 ( 66); Created Sensor(REF_SWITCH): GR2_REF_SW_HORIZONTAL
2023-05-04 13:47:44,208; INFO    ; GR2_BWD             ; actuator  ; start                    (274); GR2_BWD :Started actuator
2023-05-04 13:47:44,210; INFO    ; GR2_UP              ; actuator  ; run_to_encoder_start     (213); GR2_UP :Actuator running to encoder start
2023-05-04 13:47:44,214; DEBUG   ; MainThread          ; mp_station; __init__                 ( 46); Created Multi Purpose Station: MPS
2023-05-04 13:47:44,216; INFO    ; GR2_UP              ; actuator  ; run_to_sensor            ( 82); GR2_UP :Actuator running to sensor: GR2_REF_SW_VERTICAL
2023-05-04 13:47:44,219; DEBUG   ; GR2_UP              ; sensor    ; __init__                 ( 66); Created Sensor(REF_SWITCH): GR2_REF_SW_VERTICAL
2023-05-04 13:47:44,219; INFO    ; GR2_UP              ; actuator  ; start                    (274); GR2_UP :Started actuator
2023-05-04 13:47:44,240; DEBUG   ; MPS                 ; actuator  ; __init__                 ( 59); Created Actuator: MPS_COMPRESSOR
2023-05-04 13:47:44,240; DEBUG   ; MPS                 ; actuator  ; __init__                 ( 59); Created Actuator: MPS_VG
2023-05-04 13:47:44,244; WARNING ; MPS                 ; machine   ; switch_state             ( 78); MPS: Switching state to: OVEN
2023-05-04 13:47:44,245; DEBUG   ; MPS                 ; actuator  ; __init__                 ( 59); Created Actuator: MPS_OVEN_TRAY
2023-05-04 13:47:44,247; DEBUG   ; MPS                 ; actuator  ; __init__                 ( 59); Created Actuator: MPS_VALVE_OVEN_DOOR
2023-05-04 13:47:44,252; INFO    ; MPS_VG_TO_OVEN      ; actuator  ; run_to_sensor            ( 82); MPS_VG_TO_OVEN :Actuator running to sensor: MPS_REF_SW_VG_OVEN
2023-05-04 13:47:44,253; DEBUG   ; MPS_VG_TO_OVEN      ; sensor    ; __init__                 ( 66); Created Sensor(REF_SWITCH): MPS_REF_SW_VG_OVEN
2023-05-04 13:47:44,254; INFO    ; MPS_VG_TO_OVEN      ; actuator  ; start                    (274); MPS_VG_TO_OVEN :Started actuator
2023-05-04 13:47:44,256; INFO    ; MPS                 ; actuator  ; start                    (274); MPS_VALVE_OVEN_DOOR :Started actuator
2023-05-04 13:47:44,258; INFO    ; MPS                 ; actuator  ; run_to_sensor            ( 82); MPS_OVEN_TRAY_IN :Actuator running to sensor: MPS_REF_SW_OVEN_TRAY_IN
2023-05-04 13:47:44,260; DEBUG   ; MPS                 ; sensor    ; __init__                 ( 66); Created Sensor(REF_SWITCH): MPS_REF_SW_OVEN_TRAY_IN
2023-05-04 13:47:44,260; INFO    ; MPS                 ; actuator  ; start                    (274); MPS_OVEN_TRAY_IN :Started actuator
2023-05-04 13:47:44,262; INFO    ; MPS_COMPRESSOR      ; actuator  ; run_for_time             (122); MPS_COMPRESSOR :Actuator running for time: 0.5
2023-05-04 13:47:44,264; INFO    ; MPS_COMPRESSOR      ; actuator  ; start                    (274); MPS_COMPRESSOR :Started actuator
2023-05-04 13:47:44,766; INFO    ; MPS_COMPRESSOR      ; actuator  ; run_for_time             (132); MPS_COMPRESSOR :Run time reached
2023-05-04 13:47:44,767; INFO    ; MPS_COMPRESSOR      ; actuator  ; stop                     (284); MPS_COMPRESSOR :Stopped actuator
2023-05-04 13:47:46,465; INFO    ; MPS                 ; sensor    ; wait_for_detect          (139); MPS_REF_SW_OVEN_TRAY_IN :Detection
2023-05-04 13:47:46,465; INFO    ; MPS                 ; actuator  ; stop                     (284); MPS_OVEN_TRAY_IN :Stopped actuator
2023-05-04 13:47:46,466; DEBUG   ; MPS                 ; sensor    ; __del__                  ( 70); Destroyed Sensor(REF_SWITCH): MPS_REF_SW_OVEN_TRAY_IN
2023-05-04 13:47:46,467; INFO    ; MPS                 ; actuator  ; stop                     (284); MPS_VALVE_OVEN_DOOR :Stopped actuator
2023-05-04 13:47:46,468; DEBUG   ; MPS                 ; actuator  ; __init__                 ( 59); Created Actuator: MPS_LIGHT_OVEN
2023-05-04 13:47:46,468; INFO    ; MPS                 ; actuator  ; run_for_time             (122); MPS_LIGHT_OVEN :Actuator running for time: 2
2023-05-04 13:47:46,469; INFO    ; MPS                 ; actuator  ; start                    (274); MPS_LIGHT_OVEN :Started actuator
2023-05-04 13:47:46,605; INFO    ; GR2_BWD             ; sensor    ; wait_for_detect          (139); GR2_REF_SW_HORIZONTAL :Detection
2023-05-04 13:47:46,605; INFO    ; GR2_BWD             ; actuator  ; stop                     (284); GR2_BWD :Stopped actuator
2023-05-04 13:47:46,606; DEBUG   ; GR2_BWD             ; sensor    ; __del__                  ( 70); Destroyed Sensor(REF_SWITCH): GR2_REF_SW_HORIZONTAL
2023-05-04 13:47:46,689; INFO    ; GR2_BWD             ; sensor    ; reset_encoder            (190); Reset encoder: GR2_HORIZONTAL_COUNTER
2023-05-04 13:47:48,473; INFO    ; MPS                 ; actuator  ; run_for_time             (132); MPS_LIGHT_OVEN :Run time reached
2023-05-04 13:47:48,474; INFO    ; MPS                 ; actuator  ; stop                     (284); MPS_LIGHT_OVEN :Stopped actuator
