16:54:37.229; 0; Start of recording
16:55:34.776; 30; LineStatus/Data; {'LineE2': {'self': {'state': 'GR2_CB1_TO_PM', 'product_at': 'CB1'}, 'CB1': {'status': 'END'}, 'GR2': {'status': 'WARNING', 'WARNING': 'str: GR2 :Product still at Sensor, try nr.: 4'}}}
16:55:37.131; 31; MachineStatus/Data; {'GR2': ['PROBLEM', 'LineE2']}
16:55:37.143; 32; MachineStatus/Data; {'GR2_CB1_TO_PM': ['BLOCKED', 'LineE2']}
16:55:37.149; 33; LineStatus/Data; {'LineE2': {'self': {'state': 'PROBLEM', 'product_at': 'CB1'}, 'CB1': {'status': 'END'}, 'GR2': {'status': 'PROBLEM', 'PROBLEM': 'GetProductError: GR2 :Product still at Sensor, grip failed'}}}
16:55:37.164; 34; FactoryCommand/Data; {'run': False}
16:55:37.165; 35; MachineStatus/Data; {'CB1': ['FREE', 'None']}
16:55:37.168; 36; MachineStatus/Data; {'GR2': ['FREE', 'None']}
16:55:37.170; 37; MachineStatus/Data; {'GR2_CB1_TO_CB3': ['FREE', 'None']}
16:55:37.171; 38; MachineStatus/Data; {'GR2_CB1_TO_PM': ['FREE', 'None']}
16:55:37.172; 39; MachineStatus/Data; {'GR2_PM_TO_CB3': ['FREE', 'None']}
16:55:37.173; 40; FactoryStatus/Data; Stopped line: LineE2
16:55:40.252; 41; LineConfig/Get; b''
16:55:40.259; 42; LineConfig/Data; {'LineE2': {'name': 'LineE2', 'run': False, 'start_at': 'CB1', 'end_at': 'PM', 'with_PM': True, 'color': 'WHITE'}}
16:55:40.309; 43; LineStatus/Get; b''
16:55:40.327; 44; LineStatus/Data; {'LineE2': {'self': {'state': 'PROBLEM', 'product_at': 'CB1'}, 'CB1': {'status': 'END'}, 'GR2': {'status': 'PROBLEM', 'PROBLEM': 'GetProductError: GR2 :Product still at Sensor, grip failed'}}}
16:55:41.255; 45; FactoryCommand/Set; {'run': True}
16:55:42.256; 46; LineConfig/Get; b''
16:55:42.260; 47; LineStatus/Get; b''
16:55:42.274; 48; LineConfig/Data; {}
16:55:42.284; 49; LineStatus/Data; {}
16:55:43.258; 50; FactoryConfig/Set; {'exit_if_end': True}
16:55:43.275; 51; FactoryStatus/Data; Program stopped
